"url","teacher","teacher_link","top_responder","avg_star_rating","total_reviews","total_students","total_courses"
"https://www.udemy.com/machinelearning/","Hadelin de Ponteves","https://www.udemy.com/user/hadelin-de-ponteves/","Top-responder","4.5","30377","168945","9"
"https://www.udemy.com/machinelearning/","SuperDataScience Team","https://www.udemy.com/user/superdatascience-team/","Top-responder","4.5","62181","252268","22"
"https://www.udemy.com/data-science-supervised-machine-learning-in-python/","Lazy Programmer Inc.","https://www.udemy.com/user/lazy-programmer/","","4.6","16611","88199","19"
"https://www.udemy.com/deeplearning/","Kirill Eremenko","https://www.udemy.com/user/kirilleremenko/","Top-responder","4.5","69120","278928","33"
"https://www.udemy.com/deeplearning/","Hadelin de Ponteves","https://www.udemy.com/user/hadelin-de-ponteves/","Top-responder","4.5","30377","168987","9"
"https://www.udemy.com/deeplearning/","SuperDataScience Team","https://www.udemy.com/user/superdatascience-team/","Top-responder","4.5","62181","252310","22"
"https://www.udemy.com/data-science-deep-learning-in-theano-tensorflow/","Lazy Programmer Inc.","https://www.udemy.com/user/lazy-programmer/","Top-responder","4.6","16611","88181","19"
"https://www.udemy.com/unsupervised-deep-learning-in-python/","Lazy Programmer Inc.","https://www.udemy.com/user/lazy-programmer/","Top-responder","4.6","16611","88174","19"
"https://www.udemy.com/mastering-top-visualization-techniques-in-tableau/","Ben Young","https://www.udemy.com/user/ben-young-9/","","4.6","102","1772","1"
"https://www.udemy.com/mastering-top-visualization-techniques-in-tableau/","Kirill Eremenko","https://www.udemy.com/user/kirilleremenko/","","4.5","69120","278822","33"
"https://www.udemy.com/mastering-top-visualization-techniques-in-tableau/","SuperDataScience Team","https://www.udemy.com/user/superdatascience-team/","","4.5","62181","252207","22"
"https://www.udemy.com/mastering-top-visualization-techniques-in-tableau/","Hadelin de Ponteves","https://www.udemy.com/user/hadelin-de-ponteves/","","4.5","30377","168883","9"
"https://www.udemy.com/unsupervised-machine-learning-hidden-markov-models-in-python/","Lazy Programmer Inc.","https://www.udemy.com/user/lazy-programmer/","","4.6","16611","88187","19"
"https://www.udemy.com/sqldatabases/","Kirill Eremenko","https://www.udemy.com/user/kirilleremenko/","","4.5","69120","278829","33"
"https://www.udemy.com/sqldatabases/","Ilya Eremenko","https://www.udemy.com/user/ilyaeremenko/","","4.3","2090","18090","4"
"https://www.udemy.com/sqldatabases/","SuperDataScience Team","https://www.udemy.com/user/superdatascience-team/","","4.5","62181","252214","22"
"https://www.udemy.com/taming-big-data-with-mapreduce-and-hadoop/","Sundog Education by Frank Kane","https://www.udemy.com/user/frankkane/","","4.5","18898","89214","9"
"https://www.udemy.com/taming-big-data-with-mapreduce-and-hadoop/","Frank Kane","https://www.udemy.com/user/frank-kane-2/","","4.5","18405","84523","7"
"https://www.udemy.com/computer-vision-a-z/","Hadelin de Ponteves","https://www.udemy.com/user/hadelin-de-ponteves/","Top-responder","4.5","30377","168995","9"
"https://www.udemy.com/computer-vision-a-z/","Kirill Eremenko","https://www.udemy.com/user/kirilleremenko/","Top-responder","4.5","69120","278936","33"
"https://www.udemy.com/computer-vision-a-z/","SuperDataScience Team","https://www.udemy.com/user/superdatascience-team/","Top-responder","4.5","62181","252318","22"
"https://www.udemy.com/data-science-natural-language-processing-in-python/","Lazy Programmer Inc.","https://www.udemy.com/user/lazy-programmer/","Top-responder","4.6","16611","88191","19"
"https://www.udemy.com/artificial-intelligence-az/","Hadelin de Ponteves","https://www.udemy.com/user/hadelin-de-ponteves/","Top-responder","4.5","30377","168986","9"
"https://www.udemy.com/artificial-intelligence-az/","Kirill Eremenko","https://www.udemy.com/user/kirilleremenko/","Top-responder","4.5","69120","278927","33"
"https://www.udemy.com/artificial-intelligence-az/","SuperDataScience Team","https://www.udemy.com/user/superdatascience-team/","Top-responder","4.5","62181","252309","22"
"https://www.udemy.com/business-analysis-ba/","Jeremy Aschenbrenner | The BA Guide","https://www.udemy.com/user/jeremy-aschenbrenner/","","4.5","2919","15632","6"
"https://www.udemy.com/taming-big-data-with-spark-streaming-hands-on/","Sundog Education by Frank Kane","https://www.udemy.com/user/frankkane/","Top-responder","4.5","18898","89188","9"
"https://www.udemy.com/taming-big-data-with-spark-streaming-hands-on/","Frank Kane","https://www.udemy.com/user/frank-kane-2/","Top-responder","4.5","18405","84498","7"
"https://www.udemy.com/machine-learning-in-python-random-forest-adaboost/","Lazy Programmer Inc.","https://www.udemy.com/user/lazy-programmer/","","4.6","16611","88209","19"
"https://www.udemy.com/sql-mysql-for-data-analytics-and-business-intelligence/","365 Careers","https://www.udemy.com/user/365careers/","","4.5","13180","91238","22"
"https://www.udemy.com/business-analysis-bpmn-data-analytics-for-business-analyst/","Jean-Gabriel Paquette","https://www.udemy.com/user/cce37694-4501-45bd-b02b-4aebd877a75c/","","4.7","3423","47979","28"
"https://www.udemy.com/cluster-analysis-unsupervised-machine-learning-python/","Lazy Programmer Inc.","https://www.udemy.com/user/lazy-programmer/","","4.6","16611","88184","19"
"https://www.udemy.com/kafka-streams/","Stephane Maarek","https://www.udemy.com/user/stephane-maarek/","Top-responder","4.5","2183","9199","7"
"https://www.udemy.com/google-analytics-insights/","Daragh Walsh","https://www.udemy.com/user/daraghmichaelw/","","4.5","29005","187062","8"
"https://www.udemy.com/complete-practical-sas-statistics-data-analysis-course/","Doctor Shenggang Li","https://www.udemy.com/user/shenggang-li/","","4.1","480","3864","1"
"https://www.udemy.com/visual-modeling-master-class/","Jeremy Aschenbrenner | The BA Guide","https://www.udemy.com/user/jeremy-aschenbrenner/","","4.5","2919","15620","6"
"https://www.udemy.com/businessanalysis/","Don Hussey","https://www.udemy.com/user/donhussey/","","4.4","2990","17639","6"
"https://www.udemy.com/splunker/","Adam Frisbee","https://www.udemy.com/user/adam-frisbee/","","4.5","668","8188","4"
"https://www.udemy.com/google-analytics-for-shopify-a-complete-step-by-step-guide/","Adam Reed","https://www.udemy.com/user/adam-reed-2/","","4.6","2492","22898","11"
"https://www.udemy.com/from-0-1-machine-learning/","Loony Corn","https://www.udemy.com/user/janani-ravi-2/","","4.3","6169","45830","77"
"https://www.udemy.com/python-bokeh/","Ardit Sulce","https://www.udemy.com/user/adiune/","","4.4","14980","115300","6"
"https://www.udemy.com/colordata/","Kirill Eremenko","https://www.udemy.com/user/kirilleremenko/","","4.5","69120","278815","33"
"https://www.udemy.com/colordata/","Patrycja Angelika Jeleniewicz","https://www.udemy.com/user/patrycjajeleniewicz/","","4.3","145","1626","1"
"https://www.udemy.com/colordata/","SuperDataScience Team","https://www.udemy.com/user/superdatascience-team/","","4.5","62181","252200","22"
"https://www.udemy.com/aws-machine-learning-a-complete-guide-with-python/","Chandra Lingam","https://www.udemy.com/user/e7c3b177-f449-448a-aff8-9ef970b23152/","","4.4","1459","24718","7"
"https://www.udemy.com/tableau-accelerate-your-career-and-get-certified/","Lukas Halim","https://www.udemy.com/user/lukashalim/","","4.5","1436","6267","2"
"https://www.udemy.com/data-science-and-analytics-using-r/","Prof. Sameer Mathur","https://www.udemy.com/user/management-skills/","","3.2","1163","3120","2"
"https://www.udemy.com/microsoft-power-bi-introduction/","Grant Gamble","https://www.udemy.com/user/grantgamble/","","4.6","613","13964","8"
"https://www.udemy.com/mastertableau/","Jamie Fry","https://www.udemy.com/user/9887c57d-a3fc-4d45-bf0a-674c1aedc72e/","Top-responder","4.5","396","2855","1"
"https://www.udemy.com/big-data-and-hadoop-for-beginners/","Andalib Ansari","https://www.udemy.com/user/andalibansari/","","4.2","771","23340","1"
"https://www.udemy.com/process-mapping-process-flowcharts/","Jeremy Aschenbrenner | The BA Guide","https://www.udemy.com/user/jeremy-aschenbrenner/","","4.5","2919","15623","6"
"https://www.udemy.com/statistics-with-r-beginner-level/","Bogdan Anastasiei","https://www.udemy.com/user/bogdananastasiei/","","4.4","1080","32393","7"
"https://www.udemy.com/statistics-using-excel/","Sandeep Kumar ­","https://www.udemy.com/user/sandeepkumar1/","","4.4","4963","23108","11"
"https://www.udemy.com/connect-the-dots-factor-analysis/","Loony Corn","https://www.udemy.com/user/janani-ravi-2/","","4.3","6169","45834","77"
"https://www.udemy.com/master-dax-fundamentals-power-bi-power-pivot-ssas/","Paula Guilfoyle","https://www.udemy.com/user/paulaguilfoyle/","","4.4","1826","25125","20"
"https://www.udemy.com/qlikview-developer-course/","Shilpan Patel","https://www.udemy.com/user/shilpan/","Top-responder","4","1657","6736","5"
"https://www.udemy.com/ultimate-beginners-vba-finance-course-for-banking/","VBA Finance","https://www.udemy.com/user/bobt-4/","","3.6","150","9147","2"
"https://www.udemy.com/connect-the-dots-linear-regression/","Loony Corn","https://www.udemy.com/user/janani-ravi-2/","","4.3","6169","45829","77"
"https://www.udemy.com/sascompletetutorial/","Ermin Dedic","https://www.udemy.com/user/ermin-dedic/","","4.3","422","8478","11"
"https://www.udemy.com/quant-trading-using-machine-learning/","Loony Corn","https://www.udemy.com/user/janani-ravi-2/","","4.3","6169","45830","77"
"https://www.udemy.com/from-0-to-1-hive/","Loony Corn","https://www.udemy.com/user/janani-ravi-2/","","4.3","6169","45829","77"
"https://www.udemy.com/spark-for-data-science-with-python/","Loony Corn","https://www.udemy.com/user/janani-ravi-2/","","4.3","6169","45831","77"
"https://www.udemy.com/data-science-using-r/","ExcelR Solutions","https://www.udemy.com/user/5553b3eb96db8/","","4","835","8022","8"
"https://www.udemy.com/machine-learning-for-data-science/","David Valentine","https://www.udemy.com/user/david-valentine-3/","","4.3","448","18702","3"
"https://www.udemy.com/spss-for-research/","Bogdan Anastasiei","https://www.udemy.com/user/bogdananastasiei/","","4.4","1080","32393","7"
"https://www.udemy.com/statistics-and-data-science-in-r/","Loony Corn","https://www.udemy.com/user/janani-ravi-2/","","4.3","6169","45838","77"
"https://www.udemy.com/learn-r-by-intensive-practice/","Selva Prabhakaran","https://www.udemy.com/user/selvaprabhakaran/","","3.8","184","4090","1"
"https://www.udemy.com/project-management-for-business-analyst/","Jeremy Aschenbrenner | The BA Guide","https://www.udemy.com/user/jeremy-aschenbrenner/","","4.5","2919","15632","6"
"https://www.udemy.com/tableau-10/","Rob Davis","https://www.udemy.com/user/robdavis3/","","4.4","655","3385","4"
"https://www.udemy.com/how-to-find-your-target-audience-in-less-than-30-minutes/","Sandor Kiss","https://www.udemy.com/user/sandorkiss2/","","4.2","9543","164540","75"
"https://www.udemy.com/how-to-find-your-target-audience-in-less-than-30-minutes/","Patrick Dermak","https://www.udemy.com/user/patrickdermak/","","4.2","5516","117113","39"
"https://www.udemy.com/the-complete-introduction-to-business-data-analysis/","Ian Littlejohn","https://www.udemy.com/user/ianlittlejohn2/","","4.4","1988","11602","11"
"https://www.udemy.com/data-analysis-course-for-beginners/","Shafiq Marediya","https://www.udemy.com/user/shafiqmarediya/","","4.4","250","1901","3"
"https://www.udemy.com/learn-by-example-qlikview/","Loony Corn","https://www.udemy.com/user/janani-ravi-2/","","4.3","6169","45835","77"
"https://www.udemy.com/amazon-aws-quicksight-getting-started/","Manuel Lorenz","https://www.udemy.com/user/manuel-lorenz/","","4.7","779","4240","2"
"https://www.udemy.com/amazon-aws-quicksight-getting-started/","Maximilian Schwarzmüller","https://www.udemy.com/user/maximilian-schwarzmuller/","","4.7","58630","170690","17"
"https://www.udemy.com/data-storytelling/","Bill Shander","https://www.udemy.com/user/bill-shander/","","4.1","285","2157","1"
"https://www.udemy.com/learn-data-science/","Data Hawk Tech","https://www.udemy.com/user/xz-8/","","4.3","199","1767","1"
"https://www.udemy.com/business-data-analysis-excel/","Symon He","https://www.udemy.com/user/wcieducation/","","4.5","2545","58391","11"
"https://www.udemy.com/business-data-analysis-excel/","Travis Chow","https://www.udemy.com/user/travischow/","","4.5","37","10742","1"
"https://www.udemy.com/apache-spark-20-java-do-big-data-analytics-ml/","V2 Maestros, LLC","https://www.udemy.com/user/kumaranponnambalam/","","4.2","3707","37135","13"
